name,year,age,selling_price_INR,selling_price_USD,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Mahindra Xylo E4,2009,11,"150,000.00",1950.00,300000,Diesel,Individual,Manual,First Owner,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,7
Ford Figo 1.5D Titanium MT,2016,4,"500,000.00",6500.00,143200,Diesel,Individual,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5
Jeep Compass 2.0 Longitude Option BSIV,2017,3,"1,689,999.00",21969.99,60000,Diesel,Individual,Manual,First Owner,17.1 kmpl,1956 CC,170 bhp,350Nm@ 1750-2500rpm,5
Nissan Micra Diesel XV Premium,2012,8,"204,999.00",2664.99,120000,Diesel,Individual,Manual,First Owner,23.08 kmpl,1461 CC,63.1 bhp,160Nm@ 2000rpm,5
Maruti Ciaz VDi Plus,2014,6,"459,999.00",5979.99,145000,Diesel,Individual,Manual,Second Owner,26.21 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Hyundai i20 2015-2017 Magna 1.2,2017,3,"600,000.00",7800.00,30000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2019,1,"585,000.00",7605.00,8000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5
Ford Endeavour 2.5L 4X2 MT,2012,8,"551,000.00",7163.00,170000,Diesel,Individual,Manual,First Owner,13.1 kmpl,2499 CC,141 bhp,330Nm@ 1800rpm,7
Maruti Swift Dzire LDI,2013,7,"525,000.00",6825.00,100000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti Omni 8 Seater BSIV,2012,8,"160,000.00",2080.00,62000,Petrol,Individual,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5
Mahindra XUV500 W8 AWD,2014,6,"825,000.00",10725.00,110000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7
Hyundai Santro Xing GL CNG,2007,13,"127,000.00",1651.00,137000,CNG,Individual,Manual,First Owner,,,,,
Chevrolet Tavera Neo 3 LS 9 Str BSIII,2015,5,"600,000.00",7800.00,80000,Diesel,Individual,Manual,Second Owner,13.58 kmpl,2499 CC,72.4 bhp,171Nm@ 1800rpm,9
Maruti Zen Base,2002,18,"65,000.00",845.00,80000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5
Maruti Swift Dzire VDI,2013,7,"550,000.00",7150.00,100000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Mahindra Bolero 2011-2019 Plus - AC BSIII,2015,5,"650,000.00",8450.00,120000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9
Maruti Swift Dzire VDI,2019,1,"750,000.00",9750.00,24000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5
Mahindra KUV 100 mFALCON D75 K8,2017,3,"380,000.00",4940.00,80000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6
Hyundai Verna 1.6 SX CRDi (O),2012,8,"400,000.00",5200.00,138000,Diesel,Individual,Manual,First Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5
Maruti Wagon R LXI,2003,17,"50,000.00",650.00,147000,Petrol,Individual,Manual,Fourth & Above Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Mahindra TUV 300 mHAWK100 T8 Dual Tone,2017,3,"750,000.00",9750.00,60000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7
Chevrolet Spark 1.0 LS,2011,9,"150,000.00",1950.00,80000,Petrol,Individual,Manual,First Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5
Maruti Alto 800 LXI,2016,4,"245,000.00",3185.00,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Tata Manza Club Class Quadrajet90 VX,2013,7,"260,000.00",3380.00,189000,Diesel,Individual,Manual,First Owner,21.02 kmpl,1248 CC,88.76 bhp,200Nm@ 1750-3000rpm,5
Volkswagen Vento 1.5 TDI Highline AT,2014,6,"411,000.00",5343.00,90000,Diesel,Individual,Automatic,Second Owner,21.21 kmpl,1498 CC,103.2 bhp,250Nm@ 1500-2500rpm,5
Hyundai i20 Sportz 1.4 CRDi,2014,6,"450,000.00",5850.00,56000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1750-2750rpm,5
BMW 3 Series 320d Luxury Line,2012,8,"1,300,000.00",16900.00,140000,Diesel,Individual,Automatic,Second Owner,18.88 kmpl,1995 CC,184 bhp,380Nm@ 1750-2750rpm,5
Maruti Celerio VXI,2016,4,"351,000.00",4563.00,60000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Mahindra XUV500 W8 4WD,2012,8,"550,000.00",7150.00,130000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7
BMW 3 Series 320d Luxury Plus,2013,7,"1,300,000.00",16900.00,140000,Diesel,Individual,Automatic,Second Owner,18.88 kmpl,1995 CC,184 bhp,380Nm@ 1750-2750rpm,5
Tata Manza Club Class Quadrajet90 VX,2013,7,"260,000.00",3380.00,189000,Diesel,Individual,Manual,First Owner,21.02 kmpl,1248 CC,88.76 bhp,200Nm@ 1750-3000rpm,5
Volkswagen Vento 1.5 TDI Highline AT,2014,6,"411,000.00",5343.00,90000,Diesel,Individual,Automatic,Second Owner,21.21 kmpl,1498 CC,103.2 bhp,250Nm@ 1500-2500rpm,5
Hyundai i20 Sportz 1.4 CRDi,2014,6,"450,000.00",5850.00,56000,Diesel,Individual,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1750-2750rpm,5
BMW 3 Series 320d Luxury Line,2012,8,"1,300,000.00",16900.00,140000,Diesel,Individual,Automatic,Second Owner,18.88 kmpl,1995 CC,184 bhp,380Nm@ 1750-2750rpm,5
Maruti Celerio VXI,2016,4,"351,000.00",4563.00,60000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Mahindra XUV500 W8 4WD,2012,8,"550,000.00",7150.00,130000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7
BMW 3 Series 320d Luxury Plus,2013,7,"1,300,000.00",16900.00,140000,Diesel,Individual,Automatic,Second Owner,18.88 kmpl,1995 CC,184 bhp,380Nm@ 1750-2750rpm,5
Nissan Terrano XE 85 PS,2016,4,"750,000.00",9750.00,35000,Diesel,Individual,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5
Nissan Terrano XL 85 PS,2015,5,"800,000.00",10400.00,35000,Diesel,Individual,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5
Tata New Safari DICOR 2.2 EX 4x2,2011,9,"350,000.00",4550.00,156000,Diesel,Individual,Manual,First Owner,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7
Maruti Alto 800 LX,2013,7,"200,000.00",2600.00,90000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Tata Indigo LS,2008,12,"150,000.00",1950.00,60000,Diesel,Individual,Manual,Third Owner,17.0 kmpl,1405 CC,70 bhp,"13.5@ 2,500(kgm@ rpm)",5
Nissan Terrano XL 110 PS,2016,4,"800,000.00",10400.00,36000,Diesel,Individual,Manual,First Owner,19.01 kmpl,1461 CC,108.5 bhp,248Nm@ 2250rpm,5
Hyundai EON Era Plus Sports Edition,2017,3,"350,000.00",4550.00,20000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5
Tata New Safari DICOR 2.2 VX 4x2,2011,9,"350,000.00",4550.00,160000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138 bhp,320Nm@ 1700-2700rpm,7
Mahindra Scorpio 2.6 Turbo 9 Str,2006,14,"250,000.00",3250.00,185000,Diesel,Individual,Manual,First Owner,12.7 kmpl,2609 CC,116.6 bhp,"28.3@ 1,700-2,200(kgm@ rpm)",9
Tata Indica Vista Terra 1.4 TDI,2010,10,"170,000.00",2210.00,110000,Diesel,Individual,Manual,Second Owner,17.0 kmpl,1405 CC,71 bhp,135Nm@ 2500rpm,5
Renault KWID RXT Optional,2018,2,"395,000.00",5135.00,10800,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5
Mahindra Bolero 2011-2019 SLE,2012,8,"450,000.00",5850.00,120000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7
Maruti Ignis 1.2 Delta BSIV,2019,1,"500,000.00",6500.00,15000,Petrol,Individual,Manual,First Owner,20.89 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Tata Sumo EX 10/7 Str BSIII,2012,8,"200,000.00",2600.00,67500,Diesel,Individual,Manual,First Owner,12.2 kmpl,1948 CC,68 bhp,"115@ 2,500(kgm@ rpm)",10
Tata Hexa XM,2017,3,"1,200,000.00",15600.00,30000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7
Mahindra KUV 100 mFALCON D75 K8,2016,4,"400,000.00",5200.00,50000,Diesel,Individual,Manual,First Owner,25.32 kmpl,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6
Mahindra TUV 300 T8,2016,4,"650,000.00",8450.00,100000,Diesel,Individual,Manual,First Owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7
Mahindra Bolero 2011-2019 DI - AC BS III,2016,4,"550,000.00",7150.00,150000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9
Mahindra XUV500 W10 2WD,2015,5,"1,100,000.00",14300.00,110000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7
Maruti Alto 800 LXI,2012,8,"254,999.00",3314.99,30000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Maruti Alto LXi,2011,9,"180,000.00",2340.00,60000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Mahindra Xylo D2,2010,10,"160,000.00",2080.00,255000,Diesel,Individual,Manual,Second Owner,13.0 kmpl,2489 CC,95 bhp,220Nm at 1400-2600 rpm,8
Chevrolet Optra Magnum 2.0 LT BS3,2008,12,"225,000.00",2925.00,120000,Diesel,Individual,Manual,Second Owner,16.52 kmpl,1991 CC,123.7 bhp,305Nm@ 2000rpm,5
Maruti Alto 800 LXI,2015,5,"270,000.00",3510.00,49900,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Tata Manza Aura Quadrajet BS IV,2012,8,"310,000.00",4030.00,86000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5
Datsun GO T BSIV,2015,5,"225,000.00",2925.00,71850,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5
Fiat Grande Punto EVO 1.3 Dynamic,2015,5,"300,000.00",3900.00,95000,Diesel,Individual,Manual,Third Owner,21.2 kmpl,1248 CC,75 bhp,197Nm@ 1750rpm,5
Maruti Swift Dzire VXi,2008,12,"250,000.00",3250.00,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5
Hyundai EON Sportz,2011,9,"180,000.00",2340.00,35000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5
Maruti Swift Dzire VXI,2015,5,"550,000.00",7150.00,50000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
Mahindra Bolero XL 10 Seater Non AC,2007,13,"300,000.00",3900.00,120000,Diesel,Individual,Manual,Third Owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7
Hyundai Elantra CRDi SX,2015,5,"900,000.00",11700.00,145000,Diesel,Individual,Manual,First Owner,22.7 kmpl,1582 CC,126.2 bhp,259.88Nm@ 1900-2750rpm,5
Tata Sumo EX BS IV,2012,8,"254,999.00",3314.99,190000,Diesel,Individual,Manual,Third Owner,,,,,
Mahindra XUV500 W9 2WD,2018,2,"1,530,000.00",19890.00,40000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,138 bhp,330Nm@ 1600-2800rpm,7
Maruti Baleno Delta 1.3,2015,5,"590,000.00",7670.00,110000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti Wagon R LXI DUO BSIII,2008,12,"170,000.00",2210.00,112000,LPG,Individual,Manual,Second Owner,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5
Audi A3 35 TDI Premium Plus,2017,3,"2,600,000.00",33800.00,70000,Diesel,Individual,Automatic,First Owner,20.38 kmpl,1968 CC,143 bhp,320Nm@ 1750-3000rpm,5
Maruti Ritz VDi,2016,4,"475,000.00",6175.00,110000,Diesel,Individual,Manual,First Owner,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5
Hyundai Grand i10 1.2 CRDi Asta,2018,2,"700,000.00",9100.00,29000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5
Maruti Wagon R VXI BS IV,2011,9,"376,000.00",4888.00,60000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Hyundai Santro GS zipDrive - Euro I,2002,18,"100,000.00",1300.00,120000,Petrol,Individual,Manual,Fourth & Above Owner,,,,,
Maruti 800 Std BSII,2004,16,"75,000.00",975.00,46000,Petrol,Individual,Manual,Fourth & Above Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4
Mahindra Scorpio VLS AT 2.2 mHAWK,2012,8,"440,000.00",5720.00,120000,Diesel,Individual,Automatic,Third Owner,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8
Maruti Wagon R VXI Optional,2016,4,"390,000.00",5070.00,80000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Toyota Innova 2.5 VX 7 STR,2012,8,"725,000.00",9425.00,159000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7
Mahindra Bolero 2011-2019 SLE,2012,8,"325,000.00",4225.00,110000,Diesel,Individual,Manual,Second Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7
Maruti Alto LXi,2010,10,"170,000.00",2210.00,75000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Maruti Swift Dzire LDi,2010,10,"215,000.00",2795.00,120000,Diesel,Individual,Manual,Third Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5
Honda City 1.5 V Inspire,2010,10,"350,000.00",4550.00,110000,Petrol,Individual,Manual,Third Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5
Chevrolet Spark 1.0 LS,2009,11,"80,000.00",1040.00,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5
Hyundai EON Magna Plus,2012,8,"195,000.00",2535.00,80000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5
Maruti Swift VDI BSIV W ABS,2011,9,"280,000.00",3640.00,85000,Diesel,Individual,Manual,First Owner,,,,,
Nissan Sunny Diesel XL,2014,6,"335,000.00",4355.00,71000,Diesel,Dealer,Manual,First Owner,21.64 kmpl,1461 CC,84.8 bhp,200Nm@ 2000rpm,5
Mahindra XUV500 W6 2WD,2011,9,"475,000.00",6175.00,108000,Diesel,Dealer,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7
Renault Duster 85PS Diesel RxL,2015,5,"484,999.00",6304.99,75000,Diesel,Dealer,Manual,First Owner,19.87 kmpl,1461 CC,83.8 bhp,200Nm@ 1750rpm,5
Maruti Ciaz Delta BSIV,2018,2,"650,000.00",8450.00,22000,Petrol,Individual,Manual,Second Owner,21.56 kmpl,1462 CC,103.25 bhp,138Nm@ 4400rpm,5
Audi Q5 3.0 TDI Quattro,2014,6,"1,850,000.00",24050.00,76131,Diesel,Individual,Automatic,First Owner,13.22 kmpl,2967 CC,241.4 bhp,580Nm@ 1400-3250rpm,5
Hyundai i20 1.2 Asta,2018,2,"700,000.00",9100.00,30000,Petrol,Individual,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
Audi Q7 3.0 TDI Quattro,2014,6,"3,000,000.00",39000.00,65000,Diesel,Individual,Automatic,First Owner,12.07 kmpl,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7
Mahindra Scorpio S3 9 Seater BSIV,2018,2,"900,000.00",11700.00,60000,Diesel,Individual,Manual,First Owner,15.4 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm,7
Volkswagen Polo Diesel Highline 1.2L,2013,7,"350,000.00",4550.00,80000,Diesel,Individual,Manual,First Owner,22.07 kmpl,1199 CC,73.9 bhp,180Nm@ 2000rpm,5
Honda Accord V6 AT,2005,15,"285,000.00",3705.00,80000,Petrol,Individual,Automatic,Second Owner,9.0 kmpl,2997 CC,218 bhp,196Nm@ 5000rpm,5
Audi Q7 3.0 TDI Quattro Premium Plus,2012,8,"1,850,000.00",24050.00,70000,Diesel,Individual,Automatic,First Owner,12.07 kmpl,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7
Maruti Vitara Brezza VDi,2017,3,"750,000.00",9750.00,51777,Diesel,Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Land Rover Freelander 2 TD4 HSE,2013,7,"1,650,000.00",21450.00,64788,Diesel,Dealer,Automatic,First Owner,0.0 kmpl,2179 CC,115 bhp,400 Nm /2000 rpm,5
Honda Amaze V Petrol BSIV,2018,2,"600,000.00",7800.00,20000,Petrol,Individual,Manual,First Owner,19.5 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5
Volkswagen Polo 2015-2019 1.0 MPI Comfortline,2018,2,"565,000.00",7345.00,19000,Petrol,Individual,Manual,First Owner,18.78 kmpl,999 CC,75 bhp,95Nm@ 3000-4300rpm,5
Daewoo Matiz SS,2000,20,"86,000.00",1118.00,46951,Petrol,Individual,Manual,First Owner,18.5 kmpl,796 CC,53 bhp,71Nm@ 3500rpm,5
Datsun GO T BSIV,2016,4,"329,000.00",4277.00,19000,Petrol,Individual,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2016,4,"650,000.00",8450.00,50000,Diesel,Individual,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5
Hyundai Creta 1.6 CRDi SX Option,2015,5,"822,000.00",10686.00,60000,Diesel,Individual,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5
Renault Duster 110PS Diesel RxL,2013,7,"345,000.00",4485.00,100000,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5
Maruti Zen LXI,2001,19,"30,000.00",390.00,10000,Petrol,Individual,Manual,First Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5
Maruti Swift VDI,2012,8,"330,000.00",4290.00,50000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti Wagon R Stingray VXI,2014,6,"300,000.00",3900.00,74537,Petrol,Individual,Manual,Second Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Maruti SX4 ZXI AT,2009,11,"200,000.00",2600.00,90000,Petrol,Individual,Automatic,Second Owner,12.6 kmpl,1586 CC,103.3 bhp,145Nm@ 4100rpm,5
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,8,"200,000.00",2600.00,80000,Diesel,Individual,Manual,Second Owner,,,,,
Chevrolet Spark 1.0,2010,10,"90,000.00",1170.00,70000,Petrol,Individual,Manual,Second Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5
Maruti Wagon R VXI Minor,2010,10,"200,000.00",2600.00,80000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5
Hyundai Xcent 1.1 CRDi SX,2016,4,"550,000.00",7150.00,35000,Diesel,Individual,Manual,First Owner,24.4 kmpl,1120 CC,71 bhp,180.4Nm@ 1750-2500rpm,5
Chevrolet Beat LT,2015,5,"250,000.00",3250.00,23500,Petrol,Individual,Manual,First Owner,18.6 kmpl,1199 CC,76.8 bhp,106.5Nm@ 4400rpm,5
Honda City i-DTEC VX,2017,3,"975,000.00",12675.00,82000,Diesel,Individual,Manual,First Owner,25.6 kmpl,1498 CC,97.9 bhp,200Nm@ 1750rpm,5
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,6,"900,000.00",11700.00,100000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8
Hyundai i20 1.2 Spotz,2018,2,"610,000.00",7930.00,15000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
Maruti Baleno Zeta 1.3,2017,3,"620,000.00",8060.00,30000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Hyundai Grand i10 Sportz,2016,4,"400,000.00",5200.00,30000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5
Maruti Celerio X ZXI BSIV,2019,1,"500,000.00",6500.00,11000,Petrol,Individual,Manual,First Owner,21.63 kmpl,998 CC,67 bhp,90Nm@ 3500rpm,5
Datsun GO Plus T,2017,3,"200,000.00",2600.00,140000,Petrol,Individual,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm,7
Tata Zest Quadrajet 1.3 XM,2016,4,"360,000.00",4680.00,110000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1248 CC,88.7 bhp,200Nm@ 1750-3000rpm,5
Maruti Alto K10 2010-2014 VXI,2012,8,"252,000.00",3276.00,48000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Maruti Swift VDI,2012,8,"280,000.00",3640.00,70000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti Swift VXI 2018,2018,2,"509,999.00",6629.99,70000,Petrol,Individual,Manual,Second Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Mahindra Scorpio 1.99 S6 Plus,2016,4,"1,050,000.00",13650.00,58000,Diesel,Individual,Manual,First Owner,15.4 kmpl,1997 CC,120 bhp,280Nm@ 1800-2800rpm,7
Maruti Wagon R LXI DUO BSIII,2010,10,"200,000.00",2600.00,40000,LPG,Individual,Manual,Fourth & Above Owner,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5
Maruti Zen LXI,2005,15,"60,000.00",780.00,90000,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5
Mahindra Xylo E8 ABS Airbag,2010,10,"320,000.00",4160.00,40000,Diesel,Individual,Manual,Second Owner,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,7
Mahindra Scorpio LX,2013,7,"520,000.00",6760.00,110000,Diesel,Individual,Manual,First Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,9
Tata New Safari DICOR 2.2 LX 4x2,2007,13,"250,000.00",3250.00,80000,Diesel,Individual,Manual,Second Owner,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7
Maruti Vitara Brezza ZDi,2017,3,"725,000.00",9425.00,60000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Mahindra Bolero 2011-2019 SLX,2015,5,"585,000.00",7605.00,50000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7
Tata Tiago 1.2 Revotron XZ,2017,3,"430,000.00",5590.00,25000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5
Maruti Swift VDI,2011,9,"235,000.00",3055.00,100000,Diesel,Individual,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti Swift Dzire VDi,2012,8,"350,000.00",4550.00,52000,Diesel,Individual,Manual,Third Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5
Hyundai i10 Era 1.1,2010,10,"131,000.00",1703.00,80000,Petrol,Individual,Manual,Third Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5
Honda Amaze VX i-DTEC,2016,4,"450,000.00",5850.00,85000,Diesel,Individual,Manual,First Owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
Maruti Vitara Brezza ZDi Plus,2016,4,"750,000.00",9750.00,83000,Diesel,Individual,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Maruti Alto 800 LXI,2013,7,"200,000.00",2600.00,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Maruti Wagon R LXI Minor,2009,11,"125,000.00",1625.00,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5
Mahindra Bolero 2011-2019 SLE,2014,6,"500,000.00",6500.00,100000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7
Maruti Swift VDI,2012,8,"380,000.00",4940.00,70000,Diesel,Individual,Manual,Third Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti Alto LXi,2008,12,"128,000.00",1664.00,19000,Petrol,Individual,Manual,First Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
